product_id,name,category,brand,unit_price_usd,unit_cost_usd,weight_kg,is_active,launch_date
PROD0001,CoreBrand Books Item 1,Books,BoldEdge,25.82,16.78,2.13,True,2019-11-23
PROD0002,PrimeLine Clothing Item 2,Clothing,ClearView,108.37,48.77,2.86,True,2021-08-14
PROD0003,GlowUp Home Item 3,Home & Kitchen,StyleCo,214.46,128.68,6.86,True,2019-04-09
PROD0004,HomePro Electronics Item 4,Electronics,PureForm,830.21,622.66,3.25,True,2019-08-28
PROD0005,HomePro Clothing Item 5,Clothing,ClearView,19.56,8.8,8.86,True,2020-11-18
PROD0006,ReadMore Beauty Item 6,Beauty & Health,ZenLife,150.8,60.32,4.32,True,2021-05-05
PROD0007,NexGen Books Item 7,Books,NexGen,49.31,32.05,9.34,True,2020-06-12
PROD0008,PrimeLine Beauty Item 8,Beauty & Health,CoreBrand,11.45,4.58,2.88,True,2020-09-17
PROD0009,ZenLife Sports Item 9,Sports & Outdoors,ReadMore,330.65,181.86,9.02,True,2020-03-02
PROD0010,FunZone Sports Item 10,Sports & Outdoors,ActiveGear,44.1,24.26,0.48,True,2021-10-31
PROD0011,NovaTech Beauty Item 11,Beauty & Health,ReadMore,132.5,53.0,1.07,True,2020-05-31
PROD0012,GlowUp Electronics Item 12,Electronics,ClearView,728.85,546.64,9.83,True,2021-08-10
PROD0013,FunZone Clothing Item 13,Clothing,NexGen,95.89,43.15,5.29,True,2020-04-12
PROD0014,GlowUp Toys Item 14,Toys & Games,BoldEdge,85.6,42.8,7.49,True,2020-09-30
PROD0015,ZenLife Electronics Item 15,Electronics,GlowUp,935.85,701.89,4.4,True,2021-11-05
PROD0016,NexGen Books Item 16,Books,ZenLife,51.95,33.77,7.54,True,2019-05-05
PROD0017,ReadMore Sports Item 17,Sports & Outdoors,ClearView,249.68,137.32,3.02,True,2019-12-09
PROD0018,NovaTech Toys Item 18,Toys & Games,FunZone,64.23,32.12,8.56,True,2020-01-27
PROD0019,StyleCo Beauty Item 19,Beauty & Health,GlowUp,136.26,54.5,3.22,True,2019-08-13
PROD0020,NovaTech Books Item 20,Books,StyleCo,41.62,27.05,8.84,True,2021-02-24
PROD0021,NexGen Sports Item 21,Sports & Outdoors,ActiveGear,273.61,150.49,3.31,True,2021-01-18
PROD0022,ClearView Clothing Item 22,Clothing,FunZone,25.69,11.56,4.09,True,2019-07-09
PROD0023,FunZone Clothing Item 23,Clothing,HomePro,63.84,28.73,1.55,True,2019-08-20
PROD0024,CoreBrand Toys Item 24,Toys & Games,HomePro,92.18,46.09,9.9,True,2019-06-13
PROD0025,ActiveGear Toys Item 25,Toys & Games,ZenLife,83.07,41.53,3.72,True,2020-04-14
PROD0026,BoldEdge Clothing Item 26,Clothing,FunZone,128.68,57.91,2.98,True,2020-07-06
PROD0027,PureForm Clothing Item 27,Clothing,FunZone,124.08,55.84,1.29,True,2019-08-08
PROD0028,GlowUp Home Item 28,Home & Kitchen,BoldEdge,202.88,121.73,0.19,True,2020-07-09
PROD0029,PureForm Home Item 29,Home & Kitchen,StyleCo,196.46,117.88,4.0,True,2020-10-26
PROD0030,FunZone Beauty Item 30,Beauty & Health,HomePro,110.92,44.37,5.59,True,2019-12-30
